"","Allocated.Time","Web.or.Phone","Answered.by.specialist","Holiday.Type","Accom.type","Dep.Airport","Lead.Time","Destination","Duration","Adults","Children","Transport.Type","Answered.Q","Notes.Completed","Title","Enquiry.Comments","Booked.Status","EnquiryYear","EnquiryMonth","EnquiryDay","EnquiryWeekday","DepYear","DepMonth","DepDay","DepWeekday","Enquiry.Timecat","Enquiry.Time_class","DepartureSeason","Gender"
"470","Slow","WEB","1","A","grade1","MCH",77," AB",14,2,2,"A","NO","NO","Mr","NO","0","2018","1",21,"Sunday","2019","7",17,"Wednesday","Business_Hour","morning","summer","M"
"471","Slow","WEB","1","E","None","Lon All",80," AC",21,3,1,"A","NO","NO","Mr","NO","0","2018","1",21,"Sunday","2019","8",8,"Thursday","Business_Hour","morning","summer","M"
"472","Slow","WEB","0","E","None","Any Airport",26," AC",14,3,0,"None Required","NO","NO","Miss","NO","0","2018","1",21,"Sunday","2018","7",24,"Tuesday","Business_Hour","night","summer","F"
"473","Extremely Fast","PHONE","0","E","None","BH",82," AC",10,4,2,"A","NO","NO","Mrs","NO","1","2018","1",22,"Monday","2019","8",19,"Monday","Business_Hour","afternoon","summer","F"
"474","Slow","WEB","0","E","None","Lon All",80," AC",14,5,0,"A","NO","NO","Mrs","NO","0","2018","1",24,"Wednesday","2019","8",9,"Friday","Closed","morning","summer","F"
"475","Slow","WEB","1","B","grade2","MCH",48," CC City",7,2,0,"B","NO","NO","Mr","NO","0","2018","1",24,"Wednesday","2018","12",27,"Thursday","Closed","morning","winter","M"
"476","Slow","WEB","0","A","grade1","Lon All",26," AB",16,3,1,"A","YES","YES","Mr","NO","0","2018","1",24,"Wednesday","2018","7",24,"Tuesday","Business_Hour","afternoon","summer","M"
"477","Slow","WEB","0","B","grade2","MCH",7," AC",7,4,0,"A","YES","YES","Mr","NO","0","2018","1",25,"Thursday","2018","3",16,"Friday","Business_Hour","afternoon","spring","M"
"478","Slow","WEB","0","A","grade1","MCH",64," AC",14,4,2,"A","NO","NO","Mr","NO","0","2018","1",25,"Thursday","2019","4",16,"Tuesday","Business_Hour","afternoon","spring","M"
"479","Slow","WEB","0","A","grade2","MCH",84," AC",21,2,0,"B","NO","NO","Mr","NO","0","2018","1",25,"Thursday","2019","9",7,"Saturday","Business_Hour","afternoon","fall","M"
