"","Allocated.Time","Web.or.Phone","Answered.by.specialist","Holiday.Type","Accom.type","Dep.Airport","Lead.Time","Destination","Duration","Adults","Children","Transport.Type","Answered.Q","Notes.Completed","Title","Enquiry.Comments","Booked.Status","EnquiryYear","EnquiryMonth","EnquiryDay","EnquiryWeekday","DepYear","DepMonth","DepDay","DepWeekday","Enquiry.Timecat","Enquiry.Time_class","DepartureSeason","Gender"
"573","Slow","WEB","1","A","grade2","MCH",56," AA Resort",14,2,2,"None Required","NO","NO","Mrs","NO","0","2018","4",19,"Thursday","2019","5",17,"Friday","Closed","morning","spring","F"
"574","Slow","WEB","1","A","grade2","Lon Gat",68," AC",20,3,1,"None Required","NO","NO","Mr","NO","0","2018","4",19,"Thursday","2019","8",8,"Thursday","Closed","morning","summer","M"
"575","Slow","WEB","1","E","None","MCH",50," AC",14,4,0,"None Required","NO","NO","Miss","NO","0","2018","4",19,"Thursday","2019","4",4,"Thursday","Business_Hour","afternoon","spring","F"
"576","Fast","PHONE","1","A","grade2","Lon All",56," AA Resort",14,2,3,"B","NO","NO","Ms","NO","1","2018","4",22,"Sunday","2019","5",23,"Thursday","Business_Hour","afternoon","spring","F"
"577","Fast","PHONE","1","E","None","Lon All",20,"OTHER",10,2,0,"A","NO","NO","Mrs","NO","1","2018","4",22,"Sunday","2018","9",10,"Monday","Business_Hour","morning","fall","F"
"578","Fast","PHONE","0","A","grade2","MCH",77," AA Resort",14,2,2,"A","NO","NO","Mrs","NO","1","2018","4",22,"Sunday","2019","10",16,"Wednesday","Business_Hour","afternoon","fall","F"
"579","Extremely Fast","PHONE","1","B","grade2","Lon All",74," AC",14,2,0,"None Required","NO","NO","Mrs","NO","1","2018","4",22,"Sunday","2019","9",28,"Saturday","Business_Hour","afternoon","fall","F"
"580","Extremely Fast","PHONE","1","A","grade2","MCH",56," AA Resort",14,3,2,"None Required","YES","YES","Mrs","NO","1","2018","4",22,"Sunday","2019","5",22,"Wednesday","Closed","morning","spring","F"
"581","Slow","WEB","1","D","grade3","MCH",41," JH Area",18,2,0,"A","YES","YES","Miss","NO","0","2018","4",22,"Sunday","2019","2",6,"Wednesday","Business_Hour","afternoon","winter","F"
"582","Extremely Fast","PHONE","1","A","grade2","Lon All",64," AA Resort",14,2,0,"None Required","YES","YES","Mrs","NO","1","2018","4",23,"Monday","2019","7",15,"Monday","Closed","morning","summer","F"
"583","Extremely Fast","WEB","0","A","grade2","MCH",79," AA Resort",14,2,0,"None Required","NO","NO","Mrs","NO","1","2018","4",25,"Wednesday","2019","10",27,"Sunday","Business_Hour","morning","fall","F"
"584","Slow","WEB","1","B","grade2","Lon All",54," LV",14,2,0,"B","YES","YES","Mr","NO","0","2018","4",26,"Thursday","2019","5",8,"Wednesday","Business_Hour","morning","spring","M"
"585","Slow","WEB","0","A","grade1","Lon Gat",17," AC",14,4,2,"A","NO","NO","Mrs","NO","0","2018","4",28,"Saturday","2018","8",20,"Monday","Business_Hour","morning","summer","F"
"586","Slow","WEB","0","A","grade3","Lon All",68," AB",14,4,2,"A","YES","YES","Mr","NO","0","2018","4",28,"Saturday","2019","8",13,"Tuesday","Business_Hour","afternoon","summer","M"
"587","Slow","WEB","1","A","grade2","Lon All",15," DC Drive",10,3,1,"A","YES","YES","Mr","NO","0","2018","4",28,"Saturday","2018","8",6,"Monday","Closed","morning","summer","M"
"588","Slow","WEB","0","B","grade2","Lon All",77," AC",14,4,0,"None Required","NO","NO","Miss","NO","0","2018","4",28,"Saturday","2019","10",18,"Friday","Business_Hour","afternoon","fall","F"
"589","Slow","WEB","1","A","grade2","Lon All",48," AC",14,3,2,"A","NO","NO","Mr","NO","0","2018","4",29,"Sunday","2019","4",6,"Saturday","Closed","morning","spring","M"
"590","Slow","WEB","1","A","grade2","BH",63," AA Resort",14,2,2,"None Required","NO","NO","Miss","NO","0","2018","4",29,"Sunday","2019","7",16,"Tuesday","Business_Hour","night","summer","F"
"591","Extremely Fast","WEB","1","E","None","Lon All",19,"OTHER",14,2,0,"A","YES","YES","Mrs","NO","0","2018","4",30,"Monday","2018","9",15,"Saturday","Business_Hour","morning","fall","F"
"592","Slow","WEB","1","B","grade2","GG",78," NM AB Resort",14,3,1,"B","YES","YES","Mr","NO","0","2018","5",1,"Tuesday","2019","10",29,"Tuesday","Closed","morning","fall","M"
"593","Slow","WEB","1","A","grade2","MCH",19," AB",14,2,0,"None Required","YES","YES","Mr","NO","0","2018","5",2,"Wednesday","2018","9",11,"Tuesday","Business_Hour","afternoon","fall","M"
"594","Slow","WEB","1","A","grade2","MCH",100," AC",14,3,1,"A","YES","YES","Mr","NO","0","2018","5",4,"Friday","2020","3",29,"Sunday","Business_Hour","morning","spring","M"
"595","Slow","WEB","0","A","grade2","Lon All",66," AB",14,2,1,"B","NO","NO","Miss","NO","0","2018","5",4,"Friday","2019","8",6,"Tuesday","Business_Hour","afternoon","summer","F"
"596","Slow","WEB","0","B","grade1","GG",8," AB",14,3,1,"A","YES","YES","Miss","NO","0","2018","5",4,"Friday","2018","6",29,"Friday","Business_Hour","night","summer","F"
"597","Slow","WEB","0","A","grade2","MCH",56," AB",21,2,0,"B","NO","NO","Mr","NO","0","2018","5",6,"Sunday","2019","6",2,"Sunday","Business_Hour","afternoon","summer","M"
"598","Slow","WEB","1","A","grade3","Lon All",32," AC",14,2,0,"None Required","YES","YES","Mr","NO","0","2018","5",8,"Tuesday","2018","12",18,"Tuesday","Business_Hour","morning","winter","M"
"599","Slow","WEB","0","D","grade2","Lon All",35,"OTHER",11,2,0,"B","NO","NO","Miss","NO","0","2018","5",8,"Tuesday","2019","1",8,"Tuesday","Business_Hour","afternoon","winter","F"
"600","Extremely Fast","WEB","0","A","grade1","MCH",15," AB",14,3,4,"A","NO","NO","Mrs","NO","1","2018","5",9,"Wednesday","2018","8",19,"Sunday","Business_Hour","morning","summer","F"
"601","Fast","WEB","1","E","None","Lon All",66," JH Area",17,3,1,"A","NO","NO","Miss","NO","0","2018","5",9,"Wednesday","2019","8",15,"Thursday","Business_Hour","night","summer","F"
"602","Extremely Fast","PHONE","0","A","grade2","GG",53," AB",7,1,1,"B","NO","NO","Mrs","NO","1","2018","5",10,"Thursday","2019","5",16,"Thursday","Business_Hour","morning","spring","F"
"603","Slow","WEB","1","C","grade2","Any Airport",65," AC",14,4,0,"A","NO","NO","Mr","NO","0","2018","5",10,"Thursday","2019","8",6,"Tuesday","Business_Hour","morning","summer","M"
"604","Slow","WEB","1","C","grade2","Any Airport",76," AA Resort",14,3,1,"B","YES","YES","Mr","NO","0","2018","5",11,"Friday","2019","10",23,"Wednesday","Closed","morning","fall","M"
"605","Slow","WEB","1","A","grade1","Lon All",62," AC",14,7,2,"A","YES","YES","Mr","NO","0","2018","5",12,"Saturday","2019","7",16,"Tuesday","Business_Hour","afternoon","summer","M"
"606","Slow","WEB","1","A","grade2","Lon Gat",68," AC",10,5,0,"B","NO","NO","Miss","NO","0","2018","5",12,"Saturday","2019","8",28,"Wednesday","Business_Hour","morning","summer","F"
"607","Slow","WEB","1","B","grade2","OTHER",12," AB",10,4,0,"B","NO","NO","Mrs","NO","0","2018","5",13,"Sunday","2018","8",6,"Monday","Business_Hour","morning","summer","F"
"608","Fast","PHONE","0","A","grade1","MCH",56," AC",14,2,1,"A","NO","NO","Ms","NO","1","2018","5",14,"Monday","2019","6",14,"Friday","Business_Hour","morning","summer","F"
"609","Extremely Fast","PHONE","0","A","grade1","Lon All",11,"OTHER",7,4,1,"A","NO","NO","Mrs","NO","1","2018","5",14,"Monday","2018","8",3,"Friday","Closed","morning","summer","F"
"610","Slow","WEB","0","A","grade2","MCH",76," AB",14,2,0,"A","YES","YES","Mrs","NO","0","2018","5",14,"Monday","2019","10",30,"Wednesday","Business_Hour","morning","fall","F"
"611","Fast","PHONE","0","E","None","OTHER",40," LH",10,2,0,"A","NO","NO","Mrs","NO","1","2018","5",15,"Tuesday","2019","2",22,"Friday","Business_Hour","morning","winter","F"
"612","Slow","WEB","1","B","grade2","Any Airport",24," CC City",6,2,0,"None Required","NO","NO","Mr","NO","0","2018","5",15,"Tuesday","2018","10",31,"Wednesday","Business_Hour","afternoon","fall","M"
"613","Slow","WEB","0","E","None","Lon All",63," AC",14,4,1,"A","NO","NO","Mr","NO","0","2018","5",15,"Tuesday","2019","8",3,"Saturday","Business_Hour","afternoon","summer","M"
"614","Extremely Fast","WEB","0","A","grade2","MCH",23," AB",14,4,0,"None Required","YES","YES","Mrs","NO","0","2018","5",16,"Wednesday","2018","10",22,"Monday","Business_Hour","morning","fall","F"
"615","Slow","WEB","1","A","grade1","MCH",61," AA Resort",14,3,2,"A","NO","NO","Mr","NO","0","2018","5",16,"Wednesday","2019","7",18,"Thursday","Closed","morning","summer","M"
"616","Slow","WEB","0","A","grade2","MCH",65," AC",14,5,1,"B","NO","NO","Mr","NO","0","2018","5",16,"Wednesday","2019","8",14,"Wednesday","Business_Hour","afternoon","summer","M"
"617","Slow","WEB","1","A","grade2","Lon All",70," JH Area",15,2,0,"None Required","YES","YES","Mr","NO","0","2018","5",17,"Thursday","2019","9",20,"Friday","Business_Hour","afternoon","fall","M"
"618","Slow","WEB","1","A","grade2","BH",32," CC City",5,4,0,"None Required","NO","NO","Mr","NO","0","2018","5",18,"Friday","2018","12",29,"Saturday","Business_Hour","afternoon","winter","M"
"619","Slow","WEB","1","A","grade1","Lon All",8," AC",10,3,0,"A","YES","YES","Mr","NO","0","2018","5",19,"Saturday","2018","7",14,"Saturday","Business_Hour","morning","summer","M"
"620","Slow","WEB","1","A","grade2","MCH",63," AC",14,2,0,"B","NO","NO","Mr","NO","0","2018","5",21,"Monday","2019","8",7,"Wednesday","Business_Hour","afternoon","summer","M"
"621","Slow","WEB","1","E","None","MCH",38," AB",7,3,1,"A","YES","YES","Miss","NO","0","2018","5",21,"Monday","2019","2",16,"Saturday","Business_Hour","afternoon","winter","F"
"622","Extremely Fast","PHONE","0","A","grade1","Lon All",22," AB",14,1,1,"A","NO","NO","Mrs","NO","1","2018","5",23,"Wednesday","2018","10",24,"Wednesday","Business_Hour","afternoon","fall","F"
"623","Slow","WEB","0","A","grade2","Lon All",39," AA Resort",14,2,1,"B","YES","YES","Mr","NO","0","2018","5",25,"Friday","2019","2",19,"Tuesday","Business_Hour","morning","winter","M"
"624","Extremely Fast","WEB","0","A","grade2","Lon All",13," AA Resort",14,3,0,"None Required","NO","NO","Mrs","NO","1","2018","5",28,"Monday","2018","9",1,"Saturday","Business_Hour","afternoon","fall","F"
"625","Extremely Fast","WEB","0","A","grade2","GG",66," AC",14,2,0,"B","YES","YES","Mrs","NO","1","2018","5",28,"Monday","2019","9",6,"Friday","Business_Hour","afternoon","fall","F"
"626","Extremely Fast","WEB","0","A","grade2","Lon All",64," AC",14,2,2,"None Required","NO","NO","Mrs","NO","1","2018","5",28,"Monday","2019","8",21,"Wednesday","Business_Hour","afternoon","summer","F"
"627","Extremely Fast","WEB","1","A","grade1","MCH",112," AC",21,4,2,"A","YES","YES","Mrs","NO","0","2018","5",28,"Monday","2020","7",19,"Sunday","Closed","morning","summer","F"
"628","Slow","WEB","1","A","grade1","Lon All",11," JH Area",14,4,0,"A","YES","YES","Mr","NO","0","2018","5",28,"Monday","2018","8",17,"Friday","Closed","morning","summer","M"
"629","Slow","WEB","1","A","grade3","Lon Gat",45," AC",14,2,2,"A","NO","NO","Mr","NO","0","2018","5",28,"Monday","2019","4",13,"Saturday","Closed","morning","spring","M"
"630","Slow","WEB","1","A","grade1","Lon Heathrow",62," JH Area",14,5,2,"A","NO","NO","Mr","NO","0","2018","5",28,"Monday","2019","8",10,"Saturday","Business_Hour","morning","summer","M"
"631","Slow","WEB","1","A","grade2","Lon All",77," AB",12,2,0,"B","NO","NO","Miss","NO","0","2018","5",29,"Tuesday","2019","11",18,"Monday","Business_Hour","night","fall","F"
"632","Fast","PHONE","0","A","grade2","Lon All",63," AB",14,4,0,"A","YES","YES","Ms","NO","1","2018","5",30,"Wednesday","2019","8",14,"Wednesday","Business_Hour","afternoon","summer","F"
"633","Slow","WEB","1","A","grade2","Lon All",44," AC",14,4,0,"None Required","NO","NO","Mr","NO","0","2018","5",30,"Wednesday","2019","4",6,"Saturday","Closed","morning","spring","M"
"634","Slow","WEB","1","A","grade1","GG",38,"OTHER",14,4,0,"A","NO","NO","Mr","NO","0","2018","5",30,"Wednesday","2019","2",23,"Saturday","Business_Hour","morning","winter","M"
"635","Slow","WEB","0","E","None","MCH",59," AB",11,4,1,"A","NO","NO","Mr","NO","0","2018","5",30,"Wednesday","2019","7",18,"Thursday","Business_Hour","afternoon","summer","M"
"636","Slow","WEB","1","A","grade2","Lon All",49," AB",9,5,0,"A","NO","NO","Mr","NO","0","2018","5",30,"Wednesday","2019","5",11,"Saturday","Business_Hour","afternoon","spring","M"
"637","Slow","WEB","1","C","grade2","Any Airport",2," AC",7,4,0,"B","YES","YES","Mr","NO","0","2018","5",31,"Thursday","2018","6",16,"Saturday","Business_Hour","morning","summer","M"
"638","Slow","WEB","1","B","grade2","Lon All",51," AB",14,5,0,"None Required","NO","NO","Mr","NO","0","2018","6",1,"Friday","2019","5",25,"Saturday","Business_Hour","morning","spring","M"
"639","Slow","WEB","1","A","grade2","GG",57," AB",13,3,1,"None Required","YES","YES","Mr","NO","0","2018","6",1,"Friday","2019","7",1,"Monday","Business_Hour","afternoon","summer","M"
"640","Extremely Fast","WEB","1","A","grade3","Lon All",69," AC",14,2,0,"B","NO","NO","Mrs","NO","0","2018","6",2,"Saturday","2019","9",24,"Tuesday","Business_Hour","morning","fall","F"
"641","Slow","WEB","0","A","grade1","Lon Gat",62," AC",14,4,0,"A","NO","NO","Mr","NO","0","2018","6",2,"Saturday","2019","8",7,"Wednesday","Business_Hour","morning","summer","M"
"642","Fast","PHONE","1","B","grade1","MCH",46," CC City",16,4,1,"A","YES","YES","Mrs","NO","1","2018","6",3,"Sunday","2019","4",26,"Friday","Business_Hour","afternoon","spring","F"
"643","Fast","WEB","0","D","grade2","MCH",71," AA Resort",10,3,1,"B","NO","NO","Miss","NO","0","2018","6",3,"Sunday","2019","10",18,"Friday","Business_Hour","morning","fall","F"
"644","Extremely Fast","WEB","1","A","grade1","Lon All",17," AC",10,3,0,"A","NO","NO","Mrs","NO","1","2018","6",4,"Monday","2018","10",1,"Monday","Closed","morning","fall","F"
"645","Slow","WEB","1","A","grade2","Lon All",50," PP Area",14,1,2,"B","NO","NO","Miss","NO","0","2018","6",4,"Monday","2019","5",22,"Wednesday","Business_Hour","afternoon","spring","F"
"646","Slow","WEB","1","A","grade1","Lon All",10," AC",14,2,0,"A","NO","NO","Mr","NO","0","2018","6",9,"Saturday","2018","8",14,"Tuesday","Business_Hour","afternoon","summer","M"
"647","Fast","PHONE","1","B","grade2","Lon All",18," AA Resort",12,2,2,"A","NO","NO","Mrs","NO","1","2018","6",10,"Sunday","2018","10",20,"Saturday","Business_Hour","morning","fall","F"
"648","Slow","WEB","1","A","grade1","Lon Gat",62," AB",14,4,0,"A","NO","NO","Miss","YES","0","2018","6",12,"Tuesday","2019","8",19,"Monday","Business_Hour","night","summer","F"
"649","Extremely Fast","WEB","1","E","None","MCH",57," AB",15,3,1,"None Required","YES","YES","Mrs","YES","0","2018","6",13,"Wednesday","2019","7",20,"Saturday","Closed","night","summer","F"
"650","Slow","WEB","0","A","grade1","MCH",49," AB",14,3,1,"A","YES","NO","Mrs","YES","0","2018","6",13,"Wednesday","2019","5",24,"Friday","Business_Hour","morning","spring","F"
"651","Slow","WEB","1","A","grade1","MCH",33," DC Drive",14,4,0,"A","YES","NO","Miss","YES","0","2018","6",13,"Wednesday","2019","1",31,"Thursday","Business_Hour","night","winter","F"
"652","Slow","WEB","1","B","grade2","BH",60,"OTHER",14,2,0,"B","YES","NO","Mrs","YES","0","2018","6",14,"Thursday","2019","8",9,"Friday","Closed","morning","summer","F"
"653","Slow","WEB","1","B","grade2","MCH",42," NM AB Resort",14,3,0,"A","YES","YES","Mr","YES","0","2018","6",16,"Saturday","2019","4",5,"Friday","Closed","morning","spring","M"
"654","Extremely Fast","WEB","1","A","grade2","MCH",44," LH",7,5,3,"None Required","YES","NO","Mrs","YES","0","2018","6",17,"Sunday","2019","4",21,"Sunday","Business_Hour","morning","spring","F"
"655","Slow","WEB","1","A","grade2","Lon Gat",46," AA Resort",14,2,0,"B","YES","NO","Mr","YES","0","2018","6",17,"Sunday","2019","5",10,"Friday","Business_Hour","morning","spring","M"
"656","Fast","WEB","1","C","grade1","MCH",74,"OTHER",14,2,0,"None Required","YES","NO","Miss","YES","0","2018","6",17,"Sunday","2019","11",20,"Wednesday","Business_Hour","afternoon","fall","F"
"657","Slow","WEB","1","D","grade2","Lon All",57," AB",14,2,1,"None Required","YES","YES","Mr","YES","0","2018","6",18,"Monday","2019","7",27,"Saturday","Business_Hour","afternoon","summer","M"
"658","Fast","WEB","0","A","grade1","Lon All",58," JH Area",14,4,4,"None Required","YES","NO","Miss","YES","0","2018","6",18,"Monday","2019","7",29,"Monday","Business_Hour","night","summer","F"
"659","Extremely Fast","PHONE","0","A","grade2","MCH",120," AC",14,4,0,"None Required","NO","NO","Mrs","NO","1","2018","6",19,"Tuesday","2020","10",6,"Tuesday","Business_Hour","afternoon","fall","F"
"660","Slow","WEB","1","A","grade2","MCH",49," AA Resort",14,5,1,"B","YES","NO","Mrs","YES","0","2018","6",20,"Wednesday","2019","5",29,"Wednesday","Business_Hour","morning","spring","F"
"661","Slow","WEB","1","A","grade2","Lon Gat",46," AA Resort",14,2,1,"A","YES","YES","Mr","YES","0","2018","6",21,"Thursday","2019","5",7,"Tuesday","Business_Hour","afternoon","spring","M"
"662","Slow","WEB","1","A","grade1","Lon All",47," DC Drive",14,4,3,"None Required","YES","NO","Mrs","YES","0","2018","6",23,"Saturday","2019","5",17,"Friday","Closed","morning","spring","F"
"663","Slow","WEB","0","A","grade3","Lon Gat",58," PP Area",14,3,1,"B","NO","NO","Miss","YES","0","2018","6",24,"Sunday","2019","8",10,"Saturday","Business_Hour","night","summer","F"
"664","Slow","WEB","1","A","grade2","MCH",97," DC Drive",10,2,0,"B","YES","NO","Mr","YES","0","2018","6",27,"Wednesday","2020","5",5,"Tuesday","Business_Hour","afternoon","spring","M"
"665","Slow","WEB","1","B","grade2","Lon All",54," PP Area",21,2,1,"A","YES","YES","Mr","YES","0","2018","6",30,"Saturday","2019","7",13,"Saturday","Closed","morning","summer","M"
"666","Slow","WEB","0","A","grade2","MCH",91," DC Drive",14,3,1,"None Required","YES","NO","Mrs","YES","0","2018","7",1,"Sunday","2020","4",1,"Wednesday","Business_Hour","morning","spring","F"
"667","Extremely Fast","WEB","0","A","grade2","GG",65," DC Drive",21,3,1,"B","YES","YES","Mrs","YES","1","2018","7",2,"Monday","2019","10",1,"Tuesday","Business_Hour","morning","fall","F"
"668","Slow","WEB","1","A","grade1","MCH",58," AB",10,5,0,"A","NO","NO","Mrs","YES","0","2018","7",2,"Monday","2019","8",11,"Sunday","Business_Hour","morning","summer","F"
"669","Slow","WEB","1","B","grade2","MCH",4," JH Area",9,3,0,"A","YES","YES","Mr","YES","0","2018","7",3,"Tuesday","2018","8",4,"Saturday","Closed","morning","summer","M"
"670","Extremely Fast","WEB","0","A","grade1","Lon All",7," PP Area",14,2,2,"A","YES","NO","Mrs","YES","1","2018","7",4,"Wednesday","2018","8",20,"Monday","Business_Hour","morning","summer","F"
"671","Slow","WEB","1","A","grade1","Lon Heathrow",65," JH Area",14,5,0,"A","YES","YES","Mr","YES","0","2018","7",4,"Wednesday","2019","9",30,"Monday","Business_Hour","morning","fall","M"
"672","Slow","WEB","1","A","grade2","MCH",98," DC Drive",14,4,2,"B","YES","NO","Miss","YES","0","2018","7",4,"Wednesday","2020","5",22,"Friday","Business_Hour","night","spring","F"
"673","Slow","WEB","1","A","grade2","Lon All",39," AA Resort",14,2,2,"B","YES","NO","Mr","YES","0","2018","7",5,"Thursday","2019","4",6,"Saturday","Business_Hour","afternoon","spring","M"
"674","Extremely Fast","PHONE","0","A","grade1","MCH",59," PP Area",14,2,1,"A","YES","NO","Mrs","YES","1","2018","7",6,"Friday","2019","8",21,"Wednesday","Business_Hour","afternoon","summer","F"
"675","Extremely Fast","WEB","1","A","grade2","BH",67," NM AB Resort",7,3,1,"B","YES","YES","Mrs","YES","0","2018","7",6,"Friday","2019","10",19,"Saturday","Closed","morning","fall","F"
"676","Slow","WEB","1","A","grade2","MCH",63," DC Drive",14,2,0,"A","YES","NO","Mr","YES","0","2018","7",6,"Friday","2019","9",16,"Monday","Business_Hour","morning","fall","M"
"677","Fast","PHONE","0","A","grade1","BH",90," AB",21,2,1,"A","YES","YES","Mrs","YES","1","2018","7",7,"Saturday","2020","3",27,"Friday","Business_Hour","afternoon","spring","F"
"678","Extremely Fast","PHONE","0","C","grade1","Lon All",45," PP Area",14,4,2,"None Required","YES","NO","Mrs","YES","1","2018","7",7,"Saturday","2019","5",18,"Saturday","Business_Hour","afternoon","spring","F"
"679","Extremely Fast","PHONE","0","B","grade2","Lon All",34,"OTHER",15,2,0,"A","YES","YES","Mrs","YES","1","2018","7",8,"Sunday","2019","3",7,"Thursday","Business_Hour","afternoon","spring","F"
"680","Extremely Fast","WEB","0","E","None","Lon All",56," AB",14,7,0,"None Required","YES","NO","Mrs","YES","1","2018","7",8,"Sunday","2019","8",9,"Friday","Business_Hour","morning","summer","F"
"681","Extremely Fast","PHONE","0","B","grade2","MCH",108," JH Area",14,3,1,"None Required","YES","NO","Mrs","YES","1","2018","7",9,"Monday","2020","8",3,"Monday","Closed","morning","summer","F"
"682","Extremely Fast","PHONE","0","A","grade1","Lon Gat",48," AB",14,6,0,"A","YES","NO","Mrs","YES","1","2018","7",9,"Monday","2019","6",9,"Sunday","Business_Hour","afternoon","summer","F"
"683","Extremely Fast","WEB","0","A","grade2","MCH",57," AA Resort",14,4,2,"None Required","YES","NO","Mrs","YES","1","2018","7",9,"Monday","2019","8",17,"Saturday","Business_Hour","morning","summer","F"
"684","Slow","WEB","1","RV Tour","None","Lon All",47," SF",1,2,0,"None Required","NO","NO","Mrs","YES","0","2018","7",10,"Tuesday","2019","6",8,"Saturday","Business_Hour","afternoon","summer","F"
"685","Extremely Fast","WEB","0","B","grade2","BH",40,"OTHER",14,2,0,"B","YES","NO","Mrs","YES","1","2018","7",11,"Wednesday","2019","4",20,"Saturday","Business_Hour","morning","spring","F"
"686","Slow","WEB","1","A","grade1","GG",41," AB",14,2,2,"A","YES","NO","Mr","YES","0","2018","7",11,"Wednesday","2019","4",26,"Friday","Business_Hour","afternoon","spring","M"
"687","Slow","WEB","1","D","grade2","GG",44," DC Drive",7,2,1,"None Required","YES","NO","Mr","YES","0","2018","7",11,"Wednesday","2019","5",15,"Wednesday","Business_Hour","morning","spring","M"
"688","Fast","WEB","1","A","grade2","MCH",62," AA Resort",14,3,0,"B","NO","NO","Miss","YES","0","2018","7",11,"Wednesday","2019","9",17,"Tuesday","Business_Hour","afternoon","fall","F"
"689","Extremely Fast","PHONE","1","A","grade2","Lon All",30," AA Resort",14,1,1,"B","YES","NO","Mrs","YES","1","2018","7",15,"Sunday","2019","2",14,"Thursday","Business_Hour","afternoon","winter","F"
"690","Extremely Fast","PHONE","1","A","grade2","MCH",7," AA Resort",14,2,0,"B","YES","NO","Mrs","YES","1","2018","7",15,"Sunday","2018","9",4,"Tuesday","Closed","morning","fall","F"
"691","Slow","WEB","1","A","grade1","Lon Gat",56," AB",14,2,1,"A","YES","YES","Mr","YES","0","2018","7",15,"Sunday","2019","8",17,"Saturday","Business_Hour","morning","summer","M"
"692","Fast","PHONE","0","A","grade2","MCH",69," DC Drive",14,2,0,"None Required","YES","NO","Mrs","YES","1","2018","7",17,"Tuesday","2019","11",10,"Sunday","Business_Hour","afternoon","fall","F"
"693","Extremely Fast","PHONE","0","A","grade1","BH",47," JH Area",14,5,1,"A","YES","NO","Mrs","YES","1","2018","7",17,"Tuesday","2019","6",9,"Sunday","Closed","morning","summer","F"
"694","Extremely Fast","WEB","0","B","grade2","Lon All",16," DC Drive",10,2,0,"A","YES","YES","Mrs","YES","1","2018","7",17,"Tuesday","2018","11",7,"Wednesday","Business_Hour","afternoon","fall","F"
"695","Extremely Fast","WEB","1","B","grade2","Lon Heathrow",58," CC City",14,4,0,"None Required","YES","NO","Mrs","YES","0","2018","7",17,"Tuesday","2019","8",31,"Saturday","Closed","morning","summer","F"
"696","Slow","WEB","0","A","grade2","MCH",68," DC Drive",14,2,0,"B","YES","NO","Mrs","YES","0","2018","7",17,"Tuesday","2019","11",5,"Tuesday","Business_Hour","afternoon","fall","F"
"697","Slow","WEB","0","A","grade2","OTHER",54," AB",14,2,0,"B","YES","NO","Mr","YES","0","2018","7",17,"Tuesday","2019","8",2,"Friday","Business_Hour","morning","summer","M"
"698","Extremely Fast","WEB","1","D","grade2","Lon Heathrow",7,"OTHER",7,2,0,"B","YES","YES","Mrs","YES","1","2018","7",18,"Wednesday","2018","9",6,"Thursday","Business_Hour","morning","fall","F"
"699","Slow","WEB","1","A","grade2","OTHER",36," PP Area",10,2,1,"B","YES","NO","Mr","YES","0","2018","7",19,"Thursday","2019","3",30,"Saturday","Closed","morning","spring","M"
"700","Slow","WEB","0","A","grade1","MCH",41," JH Area",14,6,0,"A","YES","YES","Mr","YES","0","2018","7",21,"Saturday","2019","4",28,"Sunday","Business_Hour","afternoon","spring","M"
"701","Extremely Fast","PHONE","0","A","grade2","MCH",38," AB",10,3,2,"A","YES","NO","Mrs","YES","1","2018","7",22,"Sunday","2019","4",15,"Monday","Business_Hour","morning","spring","F"
"702","Extremely Fast","PHONE","1","D","grade2","OTHER",59," JH Area",14,7,0,"A","YES","NO","Mrs","YES","1","2018","7",22,"Sunday","2019","9",11,"Wednesday","Business_Hour","morning","fall","F"
"703","Slow","WEB","1","A","grade1","MCH",19," DC Drive",10,5,0,"None Required","YES","NO","Mr","YES","0","2018","7",24,"Tuesday","2018","12",2,"Sunday","Business_Hour","morning","winter","M"
"704","Slow","WEB","0","A","grade1","Lon Heathrow",9,"OTHER",7,3,0,"A","YES","YES","Miss","YES","0","2018","7",24,"Tuesday","2018","9",29,"Saturday","Business_Hour","morning","fall","F"
"705","Extremely Fast","PHONE","1","A","grade2","MCH",55," AA Resort",14,2,2,"B","NO","NO","Mrs","YES","1","2018","7",25,"Wednesday","2019","8",12,"Monday","Business_Hour","afternoon","summer","F"
"706","Slow","WEB","1","A","grade2","Lon Heathrow",3,"OTHER",10,4,0,"A","YES","NO","Mr","YES","0","2018","7",25,"Wednesday","2018","8",16,"Thursday","Business_Hour","afternoon","summer","M"
"707","Slow","WEB","1","A","grade2","GG",65," AA Resort",14,1,1,"B","YES","YES","Mrs","YES","0","2018","7",26,"Thursday","2019","10",20,"Sunday","Closed","morning","fall","F"
"708","Slow","WEB","1","A","grade2","Lon All",64," NM AB Resort",14,2,2,"None Required","YES","NO","Mr","YES","0","2018","7",27,"Friday","2019","10",18,"Friday","Business_Hour","afternoon","fall","M"
"709","Slow","WEB","1","A","grade1","Lon Heathrow",50," PP Area",10,4,3,"A","YES","NO","Mr","YES","0","2018","7",28,"Saturday","2019","7",13,"Saturday","Closed","morning","summer","M"
"710","Extremely Fast","WEB","1","E","None","Lon Gat",48," Tampa",14,4,1,"None Required","YES","NO","Mrs","YES","0","2018","7",29,"Sunday","2019","7",1,"Monday","Business_Hour","morning","summer","F"
"711","Slow","WEB","1","D","grade2","Lon All",59," AA Resort",7,4,1,"B","YES","NO","Mr","YES","0","2018","7",29,"Sunday","2019","9",21,"Saturday","Closed","morning","fall","M"
